56893;579229;小米(MI)小米游戏本 15.6英寸轻薄笔记本电脑 i5 7300 8G 1T+128G 1060 6G;5999.00
15003;579456;华硕(ASUS)飞行堡垒五代FX80GD 火陨 15.6英寸游戏笔记本电脑(i5-8300H 8G 1T+128GSSD GTX1050 4G)黑红色;5999.00
24940;579455;华硕(ASUS)飞行堡垒五代FX80GE 火陨 15.6英寸游戏笔记本电脑(i7-8750H 8G 1T+128GSSD GTX1050TI 4G)黑红色;5788.00
55992;577241;ThinkPad E480(20KNA003CD) 14英寸笔记本电脑 i5-8250U/8G/1T/RX550 2G独显;4780.00
60322;554662;苹果(Apple) MacBook Air MQD32CH/A 13.3英寸笔记本电脑 I5处理器/8G/128GSSD/集显;5768.00
8274;577175;华硕 飞行堡垒四代FX63VD 15.6英寸游戏笔记本电脑 i7-7700HQ/8G/1T/GTX1050 4G独显;5379.00
3487;572885;华硕 飞行堡垒四代FX63VD7300 15.6英寸游戏笔记本电脑 i5-7300HQ/8G/1T/GTX1050 4G独显;4699.00
12043;541757;联想ThinkPad X1 Carbon 2017(20HRA01DCD) 14英寸笔记本电脑 i7-7500U/8G/256GSSD/集显;9569.00
17581;569748;华硕 飞行堡垒四代FX63VD7300 15.6英寸游戏笔记本电脑 i5-7300HQ/8G/128GSSD+1T/GTX1050 4G独显;5298.00
17265;569569;华硕 飞行堡垒FX63VD7700 15.6英寸游戏笔记本电脑 i7-7700HQ/8G/1TB+128GSSD/GTX1050 4G独显;5299.00
3501;547404;联想ThinkPad X270(20HNA01HCD) 12.5英寸笔记本电脑 i7-7500U/8G/128GSSD+1T/集显;8828.00
54645;576849;戴尔 成就13-5370-R1745G 13.3英寸笔记本电脑 i7-8550U/8G/512GSSD/R530 4G独显;6999.00
55693;577238;ThinkPad E480(20KNA002CD) 14英寸笔记本电脑 i5-8250U/8G/1T+128GSD/RX550 2G独显;5599.00
36254;568500;惠普(HP) 战66 Pro G1 2ST83PA 14英寸轻薄笔记本电脑   i7-8550U/8G/128GSSD+1T/2G独显;6299.00
36252;568501;惠普(HP) 战66 Pro G1 2ST86PA 14英寸轻薄笔记本电脑i7-8550U/8G/256GSSD+500G/2G独显;6499.00
1626;578065;华硕 飞行堡垒四代FX63VM7300 15.6英寸游戏笔记本电脑 i5-7300HQ/16G/128GSSD+1T/GTX1060 6G独显;7599.00
36254;575272;惠普(HP) 战66 Pro G1(3AR41PC) 14英寸笔记本电脑 i5-8250U/8G/256GSSD/MX150 2G独显;6299.00
18920;568456;联想 拯救者R720 15.6英寸游戏本电脑 i7-7700HQ/8G/1T+128GSSD/GTX1050 2G独显;5799.00
55536;506940;联想ThinkPad E470(20H1001NCD) 14英寸笔记本电脑 i5-7200U/4G/500G/GT920MX 2G独显;3826.00
2072;578066;华硕 飞行堡垒四代FX63VM7300 15.6英寸游戏笔记本电脑 i5-7300HQ/8G/128GSSD+1T/GTX1060 6G独显;7699.00
28670;531711;戴尔 成就 14-5468-D2625G 14英寸笔记本电脑 i5-7200U/4G/500G+128GSSD/GT940MX 2G独显;4599.00
63070;554371;联想 ideapad320 15.6英寸笔记本电脑 AMD-A12-9720P/4G/1T/R5 2G独显;3799.00
37878;581805;华硕(ASUS) 飞行堡垒四代FX63VM7700 15.6英寸120Hz电竞屏游戏笔记本电脑(i7-7700HQ 8G 128GSSD+1T GTX1060 6G );7999.00
