Python高级开发工程师,3-5年,本科,全职,B轮,北京,18k-36k,股票期权;交通补助;带薪年假;扁平管理,北京第三石科技发展有限公司
python研发工程师,3-5年,本科,全职,不需要融资,北京,15k-30k,带薪年假;定期体检;年终分红;餐补,北京物灵智能科技有限公司
Python 开发工程师,3-5年,本科,全职,上市公司,北京,25k-35k,,奇虎360科技有限公司
python工程师,1年以下,大专,全职,B轮,上海,8k-15k,午餐补助;股票期权;定期体检;弹性工作,北京推想科技有限公司
系统开发工程师（Python）,5-10年,本科,全职,B轮,北京,20k-30k,节日礼物;股票期权;带薪年假;氛围轻松,北京慕华信息科技有限公司
Python开发工程师,3-5年,本科,全职,未融资,北京,20k-30k,年底双薪;股票期权;带薪年假;定期体检,上海淇毓信息科技有限公司
高级Python开发工程师,3-5年,本科,全职,B轮,上海,15k-22k,技能培训;节日礼物;岗位晋升;年度旅游,上海阿牛信息科技有限公司
python开发-武汉,3-5年,本科,全职,A轮,武汉,20k-25k,数字化开发;软件众包事业;结果付酬;实践远程办公,北京云族佳科技有限公司
Python开发工程师,1-3年,本科,全职,A轮,北京,8k-16k,绩效奖金;年底双薪;五险一金;交通补助,人人贷商务顾问（北京）有限公司
PYTHON研发工程师,3-5年,本科,全职,上市公司,北京,25k-35k,股票期权;绩效奖金;带薪年假;定期体检,深圳市麦达数字股份有限公司
Python高级开发工程师,3-5年,本科,全职,不需要融资,郑州,6k-12k,带薪年假;计算机软件;管理规范;定期体检,武汉佰钧成技术有限责任公司
Python开发,1-3年,本科,全职,不需要融资,上海,10k-15k,年底双薪;带薪年假;午餐补助;绩效奖金,上海江村市隐智能科技有限公司
Python研发工程师,5-10年,本科,全职,上市公司,北京,25k-50k,供应链金融;消费金融;众筹业务;支付业务,京东金融
